Traffic_Level,ID,Delivery_person_ID,weather_description,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,temperature,humidity,precipitation,Distance (km),TARGET
High,E245,GOARES02DEL02,scattered clouds,Buffet,motorcycle,24,4.9,15.585.658,73.743.606,15.715.658,73.873.606,28.34,66,0,27.83,43.51
High,1D1F,INDORES17DEL01,clear sky,Buffet,motorcycle,28,4.7,22.761.226,75.887.522,22.871.226,75.997.522,23.32,43,0,25.48,4.78
High,3842,RANCHIRES06DEL01,mist,Snack,scooter,25,4.4,23.357.804,85.325.146,23.427.804,85.395.146,21.25,78,0,23.65,52.81
High,7975,JAPRES08DEL02,clear sky,Meal,electric_scooter,36,4.9,26.910.262,75.783.013,27.040.262,75.913.013,23.88,29,0,25.29,43.78
High,3D6B,MUMRES19DEL02,smoke,Snack,scooter,27,4.9,19.131.141,72.813.074,19.181.141,72.863.074,28.81,54,0,14.37,46.15
High,A130,MUMRES06DEL01,smoke,Buffet,electric_scooter,22,4.3,19.055.831,72.833.984,19.125.831,72.903.984,28.84,54,0,19.61,46.48
High,1D0C,SURRES12DEL03,clear sky,Buffet,motorcycle,38,4.9,21.183.434,72.814.492,21.273.434,72.904.492,24.91,42,0,17.3,37.55
High,C44C,BHPRES08DEL02,clear sky,Snack,motorcycle,27,4.9,23.232.537,77.429.845,23.312.537,77.509.845,21.94,43,0,20.99,44.88
High,CB2E,BHPRES20DEL02,clear sky,Meal,scooter,22,4.8,23.235.123,77.398.886,23.285.123,77.448.886,22.46,42,0,12.2,31.41
High,AEDÂ 0.00,JAPRES15DEL03,haze,Drinks,motorcycle,26,4.9,26.891.191,75.802.083,26.981.191,75.892.083,23.97,46,0,17.59,44.23
High,4EFD,MUMRES08DEL03,smoke,Buffet,electric_scooter,23,4.7,19.065.838,72.832.658,19.125.838,72.892.658,28.87,54,0,15.35,42.98
High,695,MUMRES19DEL02,smoke,Meal,bicycle,29,4.6,19.131.141,72.813.074,19.181.141,72.863.074,28.81,54,0,14.37,42.11
High,7FD0,MYSRES02DEL03,clear sky,Snack,motorcycle,39,4.8,12.304.569,76.643.622,12.394.569,76.733.622,20.7,67,0,22.37,45.61
High,138A,COIMBRES07DEL03,haze,Snack,motorcycle,29,4.6,1.096.185,76.971.082,1.102.185,77.031.082,25.99,65,0,14.95,42.53
High,33AD,BANGRES15DEL02,haze,Snack,scooter,20,4.6,12.975.377,77.696.664,13.105.377,77.826.664,21.56,73,0,26.95,50.28
High,4FF6,JAPRES09DEL02,haze,Drinks,scooter,32,4.6,26.911.378,75.789.034,26.991.378,75.869.034,23.9,46,0,16.87,42.58
High,B55F,COIMBRES15DEL01,haze,Drinks,scooter,33,4.8,11.006.686,76.951.736,11.116.686,77.061.736,26.12,65,0,20.35,52.28
High,1FC8,SURRES010DEL02,clear sky,Snack,motorcycle,21,4.5,2.117.106,72.789.292,2.125.106,72.869.292,24.94,43,0,14.52,35.56
High,D75E,GOARES010DEL01,scattered clouds,Meal,motorcycle,22,4.9,15.546.594,73.760.431,15.656.594,73.870.431,28.42,67,0,21.05,40.13
High,8B87,HYDRES08DEL02,haze,Snack,motorcycle,37,4.5,17.438.263,78.397.865,17.518.263,78.477.865,23.77,57,0,20.2,46.28
High,5CDD,BANGRES12DEL02,haze,Drinks,scooter,34,4.7,12.939.496,77.625.999,13.019.496,77.705.999,22.77,74,0,18.45,46.13
High,1.00E+40,MYSRES02DEL01,clear sky,Buffet,motorcycle,39,4.4,12.304.569,76.643.622,12.414.569,76.753.622,20.58,68,0,25.83,40.05
High,11A5,MYSRES12DEL01,clear sky,Buffet,scooter,35,3.7,12.284.747,76.625.861,12.354.747,76.695.861,20.61,67,0,16.95,41.15
High,C549,KNPRES12DEL03,clear sky,Snack,electric_scooter,24,4.5,26.492.106,80.327.797,26.552.106,80.387.797,25.62,42,0,13.77,3.83
High,6A16,PUNERES17DEL02,clear sky,Meal,scooter,30,3.7,18.530.963,73.828.972,18.610.963,73.908.972,22.71,48,0,16.78,41.61
High,DDF9,LUDHRES010DEL02,clear sky,Snack,motorcycle,38,4.1,3.089.286,75.822.199,3.097.286,75.902.199,23.77,38,0,16.7,40.66
High,5180,VADRES05DEL01,haze,Drinks,motorcycle,20,4.9,22.310.526,73.170.937,22.420.526,73.280.937,25.92,57,0,21.29,51.48
High,26A7,CHENRES03DEL02,overcast clouds,Meal,scooter,39,5,13.091.809,80.219.104,13.141.809,80.269.104,28.4,82,0,22.03,48.38
High,44FC,BANGRES19DEL01,haze,Meal,motorcycle,38,4.9,12.914.264,776.784,12.984.264,777.484,23.09,73,0,19.58,41.11
High,6.50E+01,JAPRES03DEL02,clear sky,Meal,motorcycle,33,4.8,26.913.483,75.803.139,26.993.483,75.883.139,23.96,28,0,14.89,31.31
High,2C32,RANCHIRES05DEL02,scattered clouds,Snack,motorcycle,29,4.6,23.355.164,85.324.097,23.485.164,85.454.097,21.21,63,0,21.92,4.83
High,422B,MUMRES15DEL03,smoke,Drinks,scooter,23,4.6,19.176.269,72.836.721,19.236.269,72.896.721,28.14,54,0,11.79,46.58
High,B494,JAPRES09DEL01,clear sky,Meal,motorcycle,38,4.3,26.911.378,75.789.034,27.021.378,75.899.034,23.88,28,0,20.37,42.08
High,A0EC,SURRES02DEL02,clear sky,Meal,motorcycle,29,4.8,21.186.608,72.794.136,21.266.608,72.874.136,24.93,43,0,17.99,35.73
High,3642,MUMRES16DEL02,smoke,Snack,scooter,20,4.8,19.120.083,72.907.385,19.200.083,72.987.385,29.05,54,0,19.11,45.86
High,A10D,INDORES11DEL01,clear sky,Meal,electric_scooter,21,4.7,22.751.234,7.588.949,22.861.234,7.599.949,23.32,43,0,22.02,43.41
High,B710,PUNERES09DEL03,clear sky,Snack,scooter,35,4.6,18.536.562,73.896.485,18.596.562,73.956.485,23.03,48,0,15.37,40.51
High,9445,MUMRES12DEL03,clear sky,Snack,motorcycle,36,4.5,19.207.222,72.972.281,19.297.222,73.062.281,28.96,52,0,18.24,3.78
High,DBEF,KOCRES20DEL01,mist,Snack,motorcycle,35,4.9,9.979.186,76.317.361,10.049.186,76.387.361,27,89,0,16.03,43.55
High,17F7,HYDRES16DEL01,haze,Meal,electric_scooter,29,4.7,17.440.827,78.393.391,17.510.827,78.463.391,23.84,57,0,16.25,39.36
High,C8EE,LUDHRES01DEL02,clear sky,Snack,motorcycle,21,4.9,30.873.988,75.842.739,30.953.988,75.922.739,23.72,39,0,17.3,40.31
High,A195,BANGRES15DEL01,haze,Buffet,scooter,38,4.9,12.975.377,77.696.664,13.045.377,77.766.664,22.52,74,0,19.23,39.06
High,C90E,ALHRES17DEL03,clear sky,Drinks,scooter,25,4.8,2.545.235,81.841.889,2.554.235,81.931.889,25.19,43,0,17.18,44.76
High,ADD9,BANGRES09DEL03,haze,Meal,scooter,21,4.6,12.934.179,77.615.797,13.024.179,77.705.797,22.77,74,0,17.66,43.03
High,5539,MUMRES03DEL02,clear sky,Meal,scooter,35,4.9,1.922.384,72.841.347,1.927.384,72.891.347,29.01,53,0,10.56,31.36
High,60C5,COIMBRES20DEL01,haze,Snack,motorcycle,20,4.8,10.994.136,76.963.303,11.104.136,77.073.303,26.05,65,0,20.02,45.25
High,A79,MYSRES010DEL01,clear sky,Drinks,motorcycle,37,4.5,12.321.214,76.621.094,12.431.214,76.731.094,20.62,67,0,22.84,44.16
High,3FD0,INDORES19DEL01,clear sky,Snack,motorcycle,22,4.9,22.745.536,75.893.106,22.855.536,76.003.106,23.32,43,0,26.6,49.48
High,1EC4,PUNERES12DEL02,clear sky,Buffet,scooter,29,4.6,18.520.016,73.830.547,18.600.016,73.910.547,22.96,48,0,15.99,40.78
High,3511,CHENRES03DEL02,overcast clouds,Buffet,motorcycle,30,4.1,13.091.809,80.219.104,13.141.809,80.269.104,28.4,82,0,22.03,50.38
High,DF33,GOARES09DEL03,broken clouds,Buffet,scooter,37,4.3,15.303.897,73.914.336,15.393.897,74.004.336,28.81,73,0,23.3,37.83
High,656,JAPRES010DEL03,clear sky,Snack,scooter,34,3.5,26.921.411,75.793.604,27.011.411,75.883.604,23.9,28,0,18.36,3.79
High,8AC2,RANCHIRES20DEL02,scattered clouds,Meal,scooter,33,4.1,2.339.925,85.390.464,2.352.925,85.520.464,21.16,61,0,22.77,38.66
High,67CC,RANCHIRES01DEL03,scattered clouds,Meal,scooter,36,3.7,23.416.792,85.316.842,23.506.792,85.406.842,21.07,64,0,18.92,33.13
High,73D1,HYDRES09DEL02,haze,Meal,scooter,27,4.1,17.431.668,78.408.321,17.481.668,78.458.321,23.94,57,0,15.45,39.45
High,4C0E,RANCHIRES13DEL03,mist,Drinks,scooter,24,4.9,23.374.989,85.335.486,23.464.989,85.425.486,21.21,78,0,17.33,0.49
High,CCF,PUNERES18DEL02,clear sky,Buffet,motorcycle,29,5,18.593.481,73.785.901,18.673.481,73.865.901,22.75,49,0,17.7,38.21
High,29CF,JAPRES010DEL03,clear sky,Buffet,motorcycle,26,4.8,26.921.411,75.793.604,27.011.411,75.883.604,23.9,28,0,18.36,3.59
High,7C10,COIMBRES09DEL01,haze,Drinks,motorcycle,38,4.2,11.008.638,76.984.311,11.118.638,77.094.311,26.1,65,0,22.51,49.36
High,252A,BANGRES01DEL02,haze,Meal,motorcycle,37,4.7,12.933.284,77.615.428,13.013.284,77.695.428,22.86,74,0,16.69,4.31
High,7C30,SURRES02DEL02,clear sky,Snack,motorcycle,30,4.6,21.186.608,72.794.136,21.266.608,72.874.136,24.93,43,0,17.99,39.93
High,88D8,COIMBRES16DEL02,haze,Snack,motorcycle,24,4.4,11.010.375,7.695.295,11.090.375,7.703.295,25.95,65,0,17.37,3.75
High,A3E8,HYDRES13DEL03,haze,Snack,motorcycle,23,4.6,17.431.477,7.840.035,17.521.477,7.849.035,23.7,57,0,22.48,50.61
High,9074,SURRES04DEL02,clear sky,Drinks,motorcycle,38,4.3,21.173.493,72.801.953,21.253.493,72.881.953,24.93,43,0,15.56,43.03
High,C88,RANCHIRES08DEL01,mist,Meal,motorcycle,28,4.8,23.353.783,85.326.967,23.423.783,85.396.967,21.26,78,0,16.38,39.46
High,343E,RANCHIRES08DEL01,scattered clouds,Drinks,scooter,29,4.6,23.353.783,85.326.967,23.463.783,85.436.967,21.26,63,0,18,43.88
High,CF3F,LUDHRES20DEL02,clear sky,Buffet,scooter,37,3.5,30.885.915,75.788.259,30.965.915,75.868.259,23.81,38,0,21.26,33.58
High,8B9,CHENRES14DEL03,mist,Drinks,motorcycle,29,4.6,13.026.279,80.174.568,13.086.279,80.234.568,28.35,81,0,13.58,47.66
High,3FBF,BANGRES08DEL02,haze,Snack,motorcycle,28,4.8,12.906.229,77.596.791,12.956.229,77.646.791,23.43,73,0,13.98,41.71
High,8D73,HYDRES010DEL03,haze,Meal,scooter,38,4.8,17.428.294,78.404.423,17.488.294,78.464.423,23.88,57,0,16.83,4.56
High,5B9B,RANCHIRES010DEL01,scattered clouds,Snack,scooter,21,4.7,23.354.422,853.329,23.464.422,854.429,21.26,63,0,17.44,38.21
High,5DE6,BANGRES15DEL01,haze,Buffet,scooter,31,4.2,12.975.377,77.696.664,13.045.377,77.766.664,22.52,74,0,19.23,38.51
High,8CB4,BANGRES010DEL03,haze,Snack,scooter,30,4.8,12.933.298,77.614.293,13.023.298,77.704.293,22.73,74,0,17.91,49.93
High,706B,MUMRES12DEL01,clear sky,Meal,motorcycle,39,4.7,19.207.222,72.972.281,19.317.222,73.082.281,28.97,52,0,21.95,44.06
High,C439,GOARES08DEL02,broken clouds,Buffet,scooter,35,4.4,15.556.561,73.763.633,15.686.561,73.893.633,28.69,66,0,24.53,43.23
High,91F4,RANCHIRES06DEL02,scattered clouds,Drinks,scooter,34,4.8,23.357.804,85.325.146,23.487.804,85.455.146,21.22,63,0,22.26,53.85
High,B35F,INDORES19DEL03,clear sky,Buffet,motorcycle,22,4.8,22.745.536,75.893.106,22.835.536,75.983.106,23.24,44,0,19.05,38.95
High,DA83,GOARES16DEL03,broken clouds,Buffet,motorcycle,26,4.5,15.498.603,73.826.911,15.558.603,73.886.911,28.94,70,0,12.54,37.28
High,4D4C,RANCHIRES18DEL01,mist,Drinks,motorcycle,25,4.8,23.351.489,85.324.253,23.461.489,85.434.253,21.21,78,0,18.52,4.49
High,D1FE,BHPRES17DEL03,clear sky,Meal,motorcycle,26,4.8,23.218.998,77.373.573,23.278.998,77.433.573,22.46,42,0,13.89,36.06
High,9BCF,INDORES05DEL03,clear sky,Snack,motorcycle,34,4.2,22.727.021,75.884.167,22.817.021,75.974.167,23.23,44,0,19.08,38.88
High,66C0,RANCHIRES05DEL02,mist,Drinks,motorcycle,28,4.5,23.355.164,85.324.097,23.435.164,85.404.097,21.17,78,0,15.49,43.73
High,E230,ALHRES01DEL02,clear sky,Drinks,scooter,36,4,25.454.648,81.834.502,25.534.648,81.914.502,25.19,43,0,15.56,43.16
High,E1DB,KOLRES14DEL03,haze,Buffet,scooter,38,4.8,22.552.996,8.835.231,22.642.996,8.844.231,28.01,65,0,17.29,39.93
High,966F,INDORES13DEL01,haze,Meal,scooter,20,4.9,22.745.049,75.892.471,22.815.049,75.962.471,23.21,60,0,16.64,33.13
High,364A,SURRES18DEL03,mist,Buffet,scooter,21,4.9,21.149.834,72.778.666,21.239.834,72.868.666,24.94,73,0,16.89,3.96
High,267C,BANGRES06DEL03,haze,Drinks,scooter,22,4.7,12.979.096,77.640.625,13.069.096,77.730.625,22.15,74,0,18.4,43.73
High,DBE7,KNPRES01DEL03,clear sky,Drinks,electric_scooter,39,4.2,26.483.672,80.320.708,26.543.672,80.380.708,25.62,42,0,14.22,42.56
High,AFF7,PUNERES07DEL01,clear sky,Meal,scooter,33,4.8,18.546.947,73.900.626,18.616.947,73.970.626,23.09,48,0,15.98,41.61
High,61D6,JAPRES08DEL03,clear sky,Meal,motorcycle,27,4.9,26.910.262,75.783.013,27.000.262,75.873.013,23.72,28,0,17.26,31.11
High,66D6,CHENRES17DEL01,overcast clouds,Buffet,scooter,28,3.3,13.045.479,8.023.311,13.115.479,8.030.311,28.45,82,0,18.38,44.95
High,C2E6,GOARES13DEL01,broken clouds,Snack,motorcycle,35,4.7,15.506.205,73.766.668,15.616.205,73.876.668,28.9,68,0,22.97,50.73
High,6535,COIMBRES11DEL03,haze,Drinks,motorcycle,35,4.7,11.001.753,76.986.241,11.091.753,77.076.241,25.99,65,0,17.97,43.63
High,1024,RANCHIRES06DEL01,mist,Drinks,motorcycle,35,4.7,23.357.804,85.325.146,23.427.804,85.395.146,21.25,78,0,23.65,57.75
High,B70B,INDORES08DEL02,haze,Buffet,motorcycle,20,4.1,22.725.748,75.898.497,22.775.748,75.948.497,23.08,60,0,13.69,35.48
High,2C73,JAPRES14DEL01,clear sky,Buffet,motorcycle,35,4.3,2.688.842,75.800.689,2.699.842,75.910.689,23.95,28,0,20.53,43.83
High,30A7,MUMRES19DEL01,smoke,Drinks,electric_scooter,23,4.9,19.131.141,72.813.074,1.917.114,72.853.074,28.93,54,0,10.35,47.38
High,D9D1,ALHRES12DEL01,clear sky,Snack,motorcycle,31,4.6,25.443.994,81.860.187,25.513.994,81.930.187,25.3,44,0,16.02,37.18
High,9F73,BANGRES04DEL02,haze,Meal,electric_scooter,33,4.6,1.298.041,77.640.489,1.311.041,77.770.489,21.69,73,0,23.97,41.26
High,54F8,BANGRES20DEL03,haze,Meal,motorcycle,31,4.8,12.972.161,77.596.014,13.032.161,77.656.014,22.58,74,0,11.84,39.61
High,579C,MYSRES07DEL02,clear sky,Snack,motorcycle,21,4.5,12.325.461,76.632.278,12.455.461,76.762.278,20.23,67,0,25.51,45.08
High,8187,HYDRES03DEL02,haze,Buffet,motorcycle,39,3.5,17.422.819,78.449.578,17.502.819,78.529.578,23.68,57,0,16.52,44.26
High,76A0,CHENRES19DEL01,mist,Snack,motorcycle,31,4.6,12.986.047,80.218.114,13.056.047,80.288.114,28.53,81,0,16.51,38.86
High,3D24,COIMBRES16DEL02,haze,Snack,motorcycle,33,5,11.010.375,7.695.295,11.140.375,7.708.295,26.19,65,0,25.22,50.31
High,6.30E+09,PUNERES09DEL01,clear sky,Buffet,motorcycle,29,4.9,18.536.562,73.896.485,18.606.562,73.966.485,23.09,48,0,18.87,43.25
High,4D40,PUNERES06DEL01,clear sky,Snack,motorcycle,25,4.8,18.546.258,73.904.337,18.656.258,74.014.337,23.58,47,0,22.85,42.65
High,2DFB,INDORES14DEL01,clear sky,Buffet,motorcycle,30,4.6,22.761.593,75.886.362,22.831.593,75.956.362,23.18,44,0,17.05,40.41
High,A310,VADRES03DEL01,haze,Snack,scooter,35,4.3,22.32,73.17,22.43,73.28,25.94,57,0,23.45,43.36
High,ED4,COIMBRES07DEL01,haze,Buffet,motorcycle,28,4.6,1.096.185,76.971.082,1.103.185,77.041.082,26.01,65,0,16.24,3.73
High,57B9,PUNERES07DEL02,clear sky,Snack,motorcycle,28,5,18.546.947,73.900.626,18.626.947,73.980.626,23.39,47,0,17.13,4.52
High,1A32,PUNERES13DEL02,clear sky,Meal,motorcycle,31,4.7,1.856.245,73.916.619,1.861.245,73.966.619,23.09,48,0,12.48,33.91
High,5FDD,BANGRES12DEL01,haze,Meal,motorcycle,35,4.1,12.939.496,77.625.999,13.049.496,77.735.999,22.36,74,0,20.88,45.63
High,B6F5,SURRES12DEL02,clear sky,Buffet,scooter,37,4.6,21.183.434,72.814.492,21.263.434,72.894.492,24.93,42,0,16.73,36.53
High,5.40E+02,RANCHIRES07DEL01,scattered clouds,Meal,motorcycle,28,4.9,23.359.407,85.325.055,23.469.407,85.435.055,21.25,63,0,19.08,36.98
High,583,VADRES05DEL02,haze,Meal,motorcycle,29,4.6,22.310.526,73.170.937,22.440.526,73.300.937,25.91,57,0,24.93,40.63
High,5B17,RANCHIRES07DEL01,scattered clouds,Snack,motorcycle,23,4.8,23.359.407,85.325.055,23.469.407,85.435.055,21.25,63,0,19.08,40.96
High,B97A,JAPRES06DEL03,clear sky,Meal,motorcycle,24,5,26.911.927,75.797.282,27.051.927,75.937.282,23.94,29,0,28.09,45.58
High,1429,BANGRES01DEL02,haze,Buffet,scooter,24,4.8,12.933.284,77.615.428,12.983.284,77.665.428,23.26,73,0,13.11,38.78
High,57B2,BANGRES19DEL02,haze,Drinks,motorcycle,26,4.4,12.914.264,776.784,12.994.264,777.584,23.15,74,0,18.36,54.38
High,5436,BANGRES11DEL03,haze,Snack,scooter,29,4.4,12.934.365,77.616.155,13.024.365,77.706.155,22.77,74,0,17.57,4.61
High,8FF8,PUNERES18DEL02,clear sky,Snack,motorcycle,23,4.7,18.593.481,73.785.901,18.673.481,73.865.901,22.75,49,0,17.7,39.65
High,5354,COIMBRES12DEL02,haze,Drinks,motorcycle,23,4.7,11.000.762,76.981.876,11.080.762,77.061.876,26.01,65,0,16.18,4.51
High,7511,MYSRES15DEL01,clear sky,Buffet,motorcycle,31,4,12.352.058,7.660.665,12.462.058,7.671.665,20.51,67,0,23.28,35.11
High,51B0,MYSRES17DEL02,clear sky,Snack,scooter,23,4.7,12.326.356,76.619.103,12.456.356,76.749.103,20.23,67,0,26.19,4.21
High,73A3,MUMRES02DEL01,clear sky,Meal,motorcycle,31,4.6,19.221.315,72.862.381,19.291.315,72.932.381,28.81,53,0,14.75,32.06
High,17AB,RANCHIRES08DEL02,scattered clouds,Drinks,scooter,30,4.2,23.353.783,85.326.967,23.483.783,85.456.967,21.23,63,0,21.4,51.46
High,556D,PUNERES18DEL01,clear sky,Snack,motorcycle,39,4.1,18.593.481,73.785.901,18.703.481,73.895.901,22.51,48,0,21.63,4.77
High,A288,JAPRES02DEL03,clear sky,Drinks,motorcycle,20,4.6,26.914.142,75.805.704,27.004.142,75.895.704,23.93,28,0,16.25,42.76
High,DB93,KOCRES06DEL03,few clouds,Buffet,motorcycle,22,4.8,9.982.834,76.283.268,10.072.834,76.373.268,24.59,88,0,19.02,45.21
High,CE06,AGRRES11DEL03,clear sky,Buffet,scooter,34,4.7,27.163.303,78.057.044,27.253.303,78.147.044,25.53,38,0,28.62,39.51
High,9527,CHENRES02DEL03,overcast clouds,Drinks,electric_scooter,37,4.2,13.086.438,80.220.672,13.146.439,80.280.672,28.36,82,0,14.27,5.62
High,A120,BANGRES11DEL02,haze,Snack,scooter,23,4.9,12.934.365,77.616.155,13.014.365,77.696.155,22.86,74,0,15.95,44.41
High,2388,SURRES18DEL02,mist,Snack,electric_scooter,26,4.1,21.149.834,72.778.666,21.229.834,72.858.666,24.94,73,0,16.11,0.41
High,6AE3,RANCHIRES13DEL02,mist,Snack,scooter,26,4.7,23.374.989,85.335.486,23.424.989,85.385.486,21.27,78,0,10.34,4.01
High,E1B4,AGRRES010DEL03,clear sky,Snack,motorcycle,38,4.5,27.163.303,78.057.044,27.253.303,78.147.044,25.53,38,0,28.62,41.88
High,38D0,VADRES13DEL02,haze,Drinks,motorcycle,35,4.9,22.310.237,73.158.921,22.440.237,73.288.921,25.93,57,0,24.44,4.91
High,9E4C,INDORES08DEL01,haze,Drinks,scooter,29,4.8,22.725.748,75.898.497,22.795.748,75.968.497,23.13,60,0,16.66,44.31
High,8D5,PUNERES19DEL03,clear sky,Meal,bicycle,29,4.6,18.563.934,73.915.367,18.623.935,73.975.367,23.39,47,0,14.96,37.26
High,82C6,MYSRES16DEL02,clear sky,Buffet,motorcycle,37,4.6,12.316.967,76.603.067,12.366.967,76.653.067,20.61,67,0,13.43,0.36
High,B16A,MYSRES12DEL01,clear sky,Meal,scooter,33,4.9,12.284.747,76.625.861,12.354.747,76.695.861,20.61,67,0,16.95,3.91
High,1CAD,RANCHIRES05DEL02,mist,Meal,motorcycle,20,4.9,23.355.164,85.324.097,23.435.164,85.404.097,21.17,78,0,15.49,34.75
High,3EE1,PUNERES18DEL01,clear sky,Meal,scooter,37,4.4,18.593.481,73.785.901,18.663.481,73.855.901,22.68,49,0,15.81,3.31
High,106C,CHENRES14DEL01,mist,Buffet,motorcycle,29,4.6,13.026.279,80.174.568,13.096.279,80.244.568,28.36,81,0,16.71,48.31
High,4.00E+20,INDORES09DEL01,haze,Drinks,scooter,28,4.9,22.725.835,75.887.648,22.795.835,75.957.648,23.15,60,0,16.74,45.33
High,9211,MYSRES17DEL02,clear sky,Meal,motorcycle,26,4.7,12.326.356,76.619.103,12.456.356,76.749.103,20.23,67,0,26.19,38.16
High,85FC,BANGRES12DEL03,haze,Drinks,motorcycle,21,3.7,12.939.496,77.625.999,12.999.496,77.685.999,22.98,74,0,12.58,42.21
High,95EE,SURRES03DEL02,clear sky,Meal,motorcycle,23,5,21.186.884,72.793.616,21.266.884,72.873.616,24.93,43,0,17.73,35.25
High,5D11,MYSRES04DEL03,clear sky,Meal,scooter,30,3.7,12.3085,76.665.808,12.3985,76.755.808,20.58,68,0,19.64,40.28
High,B3EE,JAPRES17DEL01,clear sky,Buffet,motorcycle,26,4.9,26.892.312,75.806.896,27.002.312,75.916.896,23.95,28,0,20.18,43.16
High,5F3B,INDORES20DEL02,haze,Drinks,motorcycle,35,4.7,22.732.225,75.874.765,22.812.225,75.954.765,23.18,60,0,17.09,48.36
High,9649,INDORES18DEL03,clear sky,Snack,motorcycle,27,4.9,22.753.839,75.897.429,22.843.839,75.987.429,23.26,44,0,18.57,37.91
High,56C8,HYDRES05DEL03,haze,Meal,motorcycle,22,5,17.433.809,78.386.744,17.493.809,78.446.744,23.9,57,0,14.93,37.81
High,F4E,HYDRES02DEL02,haze,Meal,motorcycle,38,4.2,1.741.233,78.449.654,1.749.233,78.529.654,23.73,57,0,17.95,4.52
High,3F8C,COIMBRES01DEL02,haze,Drinks,motorcycle,29,3.4,11.016.298,76.972.076,11.096.298,77.052.076,26,65,0,16.98,48.53
High,374F,BANGRES03DEL03,haze,Drinks,motorcycle,28,4.7,12.979.166,77.640.709,13.069.166,77.730.709,22.15,74,0,18.4,4.31
High,76EE,HYDRES13DEL02,haze,Snack,motorcycle,27,4.5,17.431.477,7.840.035,17.511.477,7.848.035,23.78,57,0,19.64,47.56
High,5D56,HYDRES19DEL02,haze,Meal,motorcycle,22,4,17.458.998,78.500.366,17.538.998,78.580.366,23.71,57,0,17.68,42.68
High,43F9,COIMBRES07DEL03,haze,Meal,motorcycle,36,4.7,1.096.185,76.971.082,1.102.185,77.031.082,25.99,65,0,14.95,38.53
High,1D24,INDORES01DEL03,haze,Buffet,motorcycle,37,4.7,22.695.207,75.866.059,22.785.207,75.956.059,23.11,60,0,23.47,47.11
High,7F25,INDORES20DEL03,haze,Snack,motorcycle,21,4.8,22.732.225,75.874.765,22.822.225,75.964.765,23.21,60,0,18.3,38.25
High,9FD5,BANGRES19DEL01,haze,Meal,electric_scooter,24,4.8,12.914.264,776.784,12.984.264,777.484,23.09,73,0,17.36,44.46
High,DFB8,ALHRES07DEL03,clear sky,Meal,motorcycle,32,4.6,25.449.659,81.839.744,25.509.659,81.899.744,25.48,43,0,16.35,36.76
High,FBD,MYSRES11DEL02,clear sky,Drinks,motorcycle,20,4.8,12.323.225,76.630.028,12.453.225,76.760.028,20.29,68,0,25.16,45.76
High,8324,COIMBRES06DEL01,haze,Meal,scooter,27,4,11.021.278,76.995.017,11.131.278,77.105.017,26.2,65,0,21.79,42.83
High,BB41,BANGRES20DEL03,haze,Buffet,motorcycle,24,4.1,12.972.161,77.596.014,13.032.161,77.656.014,22.58,74,0,11.84,41.61
High,2.00E+67,INDORES07DEL01,haze,Drinks,motorcycle,32,4.6,22.722.634,75.886.959,22.792.634,75.956.959,23.11,60,0,17.07,47.15
High,A9B2,INDORES01DEL01,haze,Meal,motorcycle,21,4.7,22.695.207,75.866.059,22.765.207,75.936.059,23.07,60,0,16.38,33.33
High,74BA,COIMBRES14DEL01,haze,Drinks,scooter,33,3.9,11.003.681,76.975.525,11.073.681,77.045.525,26.06,65,0,14.51,42.03
High,3210,PUNERES03DEL03,clear sky,Drinks,scooter,39,4.5,18.554.382,73.798.206,18.614.382,73.858.206,22.69,49,0,12.84,46.26
High,6515,RANCHIRES09DEL01,scattered clouds,Buffet,motorcycle,37,4,23.351.058,85.325.731,23.461.058,85.435.731,21.26,63,0,18.15,36.61
High,7D48,PUNERES12DEL02,clear sky,Snack,scooter,28,4.9,18.520.016,73.830.547,18.600.016,73.910.547,22.96,48,0,15.99,42.78
High,DA9,COIMBRES15DEL01,haze,Buffet,scooter,37,3.5,11.006.686,76.951.736,11.076.686,77.021.736,25.95,65,0,13.62,34.08
High,252E,RANCHIRES18DEL02,mist,Meal,scooter,34,4.2,23.351.489,85.324.253,23.431.489,85.404.253,21.25,78,0,16.14,35.88
High,C326,GOARES17DEL02,broken clouds,Snack,motorcycle,30,4.3,15.496.162,73.825.364,15.576.162,73.905.364,28.99,70,0,19,49.83
High,76C,RANCHIRES11DEL01,scattered clouds,Snack,scooter,29,4.6,23.359.194,85.325.447,23.469.194,85.435.447,21.25,63,0,19.03,40.16
High,43F2,PUNERES16DEL03,clear sky,Drinks,motorcycle,23,4.9,18.536.718,73.830.327,18.626.718,73.920.327,22.98,48,0,18.15,5.29
High,7662,MYSRES06DEL02,clear sky,Drinks,motorcycle,35,4.8,12.323.994,76.626.167,12.453.994,76.756.167,20.29,68,0,25,47.48
High,22B5,BANGRES15DEL02,haze,Buffet,motorcycle,25,4.6,12.975.377,77.696.664,13.025.377,77.746.664,22.82,74,0,16.42,37.95
High,2B5B,MUMRES02DEL01,clear sky,Buffet,electric_scooter,31,4.6,19.221.315,72.862.381,19.291.315,72.932.381,28.81,53,0,14.75,36.01
